,date,count,weekday
500,2017-07-17,12,Monday
501,2017-05-22,12,Monday
502,2017-01-15,12,Sunday
503,2016-09-08,12,Thursday
504,2017-02-26,12,Sunday
505,2016-11-03,12,Thursday
506,2017-06-27,12,Tuesday
507,2017-02-24,12,Friday
508,2016-06-02,12,Thursday
509,2017-01-21,12,Saturday
510,2018-08-29,12,Wednesday
511,2017-05-01,12,Monday
512,2018-07-31,12,Tuesday
513,2019-03-04,12,Monday
514,2016-07-07,12,Thursday
515,2019-03-03,12,Sunday
516,2018-05-28,12,Monday
517,2016-05-13,12,Friday
518,2017-05-06,12,Saturday
519,2018-08-12,12,Sunday
520,2016-12-07,12,Wednesday
521,2017-02-08,11,Wednesday
522,2017-10-10,11,Tuesday
523,2017-10-17,11,Tuesday
524,2019-02-04,11,Monday
525,2017-07-12,11,Wednesday
526,2018-07-25,11,Wednesday
527,2017-10-19,11,Thursday
528,2018-05-15,11,Tuesday
529,2017-07-18,11,Tuesday
530,2016-06-05,11,Sunday
531,2017-06-16,11,Friday
532,2019-03-09,11,Saturday
533,2017-12-07,11,Thursday
534,2016-08-27,11,Saturday
535,2016-07-21,11,Thursday
536,2018-10-05,11,Friday
537,2017-06-13,10,Tuesday
538,2017-03-01,10,Wednesday
539,2017-10-26,10,Thursday
540,2017-10-07,10,Saturday
541,2018-01-20,10,Saturday
542,2017-09-15,10,Friday
543,2017-04-30,10,Sunday
544,2017-10-16,10,Monday
545,2017-04-17,10,Monday
546,2018-01-17,10,Wednesday
547,2018-08-26,10,Sunday
548,2017-08-20,10,Sunday
549,2016-11-27,10,Sunday
550,2018-08-13,10,Monday
551,2016-10-28,10,Friday
552,2018-06-15,10,Friday
553,2016-06-10,10,Friday
554,2018-03-17,10,Saturday
555,2016-06-12,10,Sunday
556,2017-12-23,10,Saturday
557,2017-08-22,10,Tuesday
558,2017-08-11,10,Friday
559,2019-01-30,10,Wednesday
560,2019-01-15,10,Tuesday
561,2018-10-27,10,Saturday
562,2018-09-14,10,Friday
563,2016-09-18,10,Sunday
564,2019-02-06,9,Wednesday
565,2018-04-20,9,Friday
566,2017-07-03,9,Monday
567,2016-09-22,9,Thursday
568,2019-03-06,9,Wednesday
569,2018-10-15,9,Monday
570,2018-12-23,9,Sunday
571,2016-07-28,9,Thursday
572,2018-11-26,9,Monday
573,2019-01-18,9,Friday
574,2018-01-04,9,Thursday
575,2017-09-16,9,Saturday
576,2016-06-29,9,Wednesday
577,2017-05-11,9,Thursday
578,2018-12-07,9,Friday
579,2018-12-21,9,Friday
580,2016-09-30,9,Friday
581,2016-07-05,9,Tuesday
582,2017-11-03,9,Friday
583,2018-06-20,9,Wednesday
584,2016-08-01,9,Monday
585,2018-08-03,9,Friday
586,2018-08-23,9,Thursday
587,2017-02-16,9,Thursday
588,2018-10-28,9,Sunday
589,2017-12-11,9,Monday
590,2017-07-13,9,Thursday
591,2016-11-11,9,Friday
592,2017-12-05,9,Tuesday
593,2017-04-13,9,Thursday
594,2016-07-03,9,Sunday
595,2017-12-08,9,Friday
596,2018-07-16,9,Monday
597,2016-10-16,8,Sunday
598,2016-09-26,8,Monday
599,2017-11-25,8,Saturday
600,2018-07-21,8,Saturday
601,2016-06-13,8,Monday
602,2018-12-16,8,Sunday
603,2017-06-30,8,Friday
604,2016-07-27,8,Wednesday
605,2019-03-10,8,Sunday
606,2016-11-19,8,Saturday
607,2016-12-13,8,Tuesday
608,2018-03-21,8,Wednesday
609,2018-11-21,8,Wednesday
610,2016-06-24,8,Friday
611,2018-11-15,8,Thursday
612,2018-11-28,8,Wednesday
613,2018-12-24,8,Monday
614,2017-04-15,8,Saturday
615,2017-04-16,8,Sunday
616,2017-05-14,8,Sunday
617,2018-07-30,8,Monday
618,2016-11-30,8,Wednesday
619,2018-03-05,8,Monday
620,2019-02-10,8,Sunday
621,2017-02-27,8,Monday
622,2018-11-13,8,Tuesday
623,2017-02-15,8,Wednesday
624,2017-11-18,7,Saturday
625,2018-03-15,7,Thursday
626,2019-01-25,7,Friday
627,2018-04-04,7,Wednesday
628,2019-02-08,7,Friday
629,2017-06-24,7,Saturday
630,2017-02-18,7,Saturday
631,2018-05-16,7,Wednesday
632,2017-09-18,7,Monday
633,2017-03-18,7,Saturday
634,2017-12-21,7,Thursday
635,2018-08-02,7,Thursday
636,2017-11-22,7,Wednesday
637,2017-09-21,7,Thursday
638,2018-08-24,7,Friday
639,2017-07-15,7,Saturday
640,2018-01-11,7,Thursday
641,2017-10-21,7,Saturday
642,2016-09-28,7,Wednesday
643,2018-11-09,7,Friday
644,2017-02-09,7,Thursday
645,2017-02-17,7,Friday
646,2019-01-20,7,Sunday
647,2017-11-20,7,Monday
648,2016-12-03,7,Saturday
649,2019-02-25,7,Monday
650,2018-12-06,7,Thursday
651,2018-09-12,7,Wednesday
652,2017-07-26,7,Wednesday
653,2018-12-10,7,Monday
654,2019-02-24,7,Sunday
655,2016-07-04,7,Monday
656,2016-11-24,7,Thursday
657,2017-01-31,7,Tuesday
658,2018-05-01,7,Tuesday
659,2018-08-17,7,Friday
660,2018-06-28,7,Thursday
661,2016-11-18,7,Friday
662,2018-11-14,6,Wednesday
663,2017-02-19,6,Sunday
664,2017-10-14,6,Saturday
665,2017-03-05,6,Sunday
666,2017-01-19,6,Thursday
667,2018-02-22,6,Thursday
668,2017-11-26,6,Sunday
669,2017-07-31,6,Monday
670,2016-06-04,6,Saturday
671,2018-01-15,6,Monday
672,2018-03-31,6,Saturday
673,2017-02-14,6,Tuesday
674,2017-12-31,6,Sunday
675,2016-05-15,6,Sunday
676,2016-09-23,6,Friday
677,2018-04-06,6,Friday
678,2018-06-18,6,Monday
679,2018-03-24,6,Saturday
680,2018-08-21,6,Tuesday
681,2017-06-18,6,Sunday
682,2017-06-25,6,Sunday
683,2017-02-13,6,Monday
684,2017-01-13,6,Friday
685,2016-12-08,6,Thursday
686,2018-03-04,6,Sunday
687,2018-01-07,6,Sunday
688,2018-12-09,6,Sunday
689,2017-11-11,5,Saturday
690,2019-02-12,5,Tuesday
691,2016-05-16,5,Monday
692,2017-01-12,5,Thursday
693,2017-06-10,5,Saturday
694,2018-12-04,5,Tuesday
695,2016-07-31,5,Sunday
